kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3757588,K06356.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,24.09002065,2.959e-05,-2.959e-05,0.946,11.0494,6782.2,9.39,1.49,-1.23,551.0,21.85,252.3,1.0,q1_q17_dr25_tce,5354.0,4.495,0.804,294.1434,38.893162,14.94
3764411,K06357.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,4.4158933,5.739e-05,-5.739e-05,0.1672,1.155,191.1,1.42,0.39,-0.13,1138.0,395.82,5.8,1.0,q1_q17_dr24_tce,5977.0,4.473,1.022,295.68594,38.889359,15.417
3765692,K06358.01,,CANDIDATE,CANDIDATE,0.184,0,0,0,0,3.09383248,2.28e-05,-2.28e-05,0.356,1.576,373.7,1.32,0.21,-0.09,998.0,233.91,9.7,1.0,q1_q17_dr25_tce,5327.0,4.646,0.681,295.92456,38.876968,15.896
3766353,K06359.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.666961614,8.04e-07,-8.04e-07,1.276,2.4774,7583.4,40.68,14.95,-3.51,1469.0,1104.26,249.5,1.0,q1_q17_dr25_tce,6609.0,4.484,0.974,296.05377,38.89426,13.968
5019567,K06488.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,1.17430183,1.989e-05,-1.989e-05,0.9744,9.587,64.5,2.22,1.08,-0.46,3020.0,19656.66,13.5,1.0,q1_q17_dr24_tce,7537.0,4.007,2.145,294.18454,40.150372,12.08
5021432,K06489.01,,CANDIDATE,CANDIDATE,,0,0,0,0,14.05652256,,,,2.56,,,,,,,,1.0,q1_q17_dr24_tce,,,,294.6561,40.13726,13.697
5021732,K06490.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,15.039464523,1.967e-06,-1.967e-06,0.998,5.39796,66876.8,51.71,16.86,-7.85,877.0,139.95,1133.5,1.0,q1_q17_dr25_tce,6410.0,4.329,1.178,294.7312,40.15049,13.623
5022440,K06491.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.693951168,1.421e-06,-1.421e-06,0.917,2.2534,28290.0,20.88,5.37,-1.92,1148.0,411.07,173.2,1.0,q1_q17_dr25_tce,5968.0,4.534,0.881,294.90256,40.169979,15.286
5022900,K06492.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,1.05680287,2.194e-05,-2.194e-05,0.563,5.748,82.3,0.83,0.22,-0.08,1633.0,1686.88,10.9,1.0,q1_q17_dr25_tce,5584.0,4.532,0.885,295.01114,40.151402,15.87
5024126,K06493.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,0.787122102,1.329e-06,-1.329e-06,1.211,3.0999,596.8,20.76,2.91,-2.19,1655.0,1775.05,57.4,1.0,q1_q17_dr25_tce,5210.0,4.528,0.799,295.27374,40.133659,15.626
